Results	Entity	Line	Column	CheckID	Check Name	Ignored	Note	Severity
Number of Results: 140								
  /Users/simonecappabianca/Desktop/INGEGNERIA DEL SOFTWARE/01 - Course presentation and exam modalities/running project - sw-20240623/Axle_Counter.c								
    Identifier is typographically ambiguous to STATUS	status	13	20	MISRA12_DIR_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous			
    a function declaration without a prototype is deprecated in all versions of C		14	14	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		36	30	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		44	31	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		71	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		72	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		73	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		75	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		76	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		77	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		78	6	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    a function declaration without a prototype is deprecated in all versions of C		80	20	MISRA12_8.2	8.2 Use Named Paramters and Prototype Form			
    Improper '--' declaration.		45	28	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator			
    Multiple exit points from function	second_axle_counter_pushed	44	5	MISRA12_15.5	15.5 A function should have a single point of exit at the end			
    Multiple exit points from function	this_is_not_used	80	4	MISRA12_15.5	15.5 A function should have a single point of exit at the end			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	81	8	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	86	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	88	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	95	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	97	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	103	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	105	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	107	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	114	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	116	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Iteration-statement or selection-statement not a compound-statement	this_is_not_used	118	24	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement         			
    Else If with no following Else	Axle_Counter.c	121	8	MISRA12_15.7	15.7 All if ... else if constructs shall be terminated with an else statement			
    The value returned by a function having non-void return type was not used	printf	29	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	printf	30	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f1	82	16	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f2	84	16	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f1	93	16	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f3	104	32	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f4	108	32	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f3	115	32	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    The value returned by a function having non-void return type was not used	f4	119	32	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used			
    Parameter ptr is modified	check_status	21	8	MISRA12_17.8	17.8 A function parameter should not be modified			
    Parameter sectionP is modified	init_Counter	68	8	MISRA12_17.8	17.8 A function parameter should not be modified			
    time.h used 	Axle_Counter.h	2	0	MISRA12_21.10	21.10 The Standard Library time and date functions shall not be used			
    Character sequence /* or // used in a comment		54	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment			
    Identifier ""track_state"" possibly shadows identifier from line 61	track_state	63	20	MISRA12_5.3	5.3 Shadowed Identifiers			
