Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"Axle_Counter.c",5,0,5,0,2,"0,09","0,05",6,1,,,,0,,,,,,13,,,,,,,,,,,,,,127,19,64,19,44,42,0,4,,32,54,20,0,34,,8,,3,,"0,66",22
File,"Axle_Counter.h",0,0,0,0,0,"0,00","0,00",0,0,,,,0,,,,,,0,,,,,,,,,,,,,,17,5,6,0,0,2,0,6,,6,6,6,0,0,,0,,0,,"0,33",0
File,"Train_Movement.c",13,2,11,1,3,"0,00","0,00",0,0,,,,0,,,,,,3,,,,,,,,,,,,,,69,12,35,9,23,18,0,7,,22,30,9,0,23,,4,,2,,"0,51",8
Static Function,"c1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Static Function,"c2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Static Function,"c3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"check_status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,5,2,3,0,0,0,2,3,3,1,0,2,1,,,0,,"0,00",
Static Function,"f1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Static Function,"f2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Static Function,"f3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Static Function,"f4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"first_axle_counter_pushed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,0,0,2,2,2,0,0,2,1,,,0,,"0,00",
Static Function,"init_Counter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,2,5,0,0,0,0,3,4,1,0,3,2,,,1,,"0,00",
Function,"main",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,5,16,3,13,2,0,0,6,11,12,2,0,12,2,,,1,,"0,13",
Static Function,"printinfo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,0,0,1,2,2,0,0,2,1,,,0,,"0,00",
Function,"second_axle_counter_pushed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,2,6,0,0,0,1,4,5,1,0,4,2,,,1,,"0,00",
Static Function,"this_is_not_used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,0,24,2,17,0,0,0,5,8,15,1,0,14,8,,,3,,"0,00",
Function,"train_arrives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,12,2,7,1,0,1,4,6,9,1,0,8,4,,,2,,"0,08",
Function,"train_leaves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,2,0,0,0,1,3,4,1,0,3,2,,,1,,"0,00",
