Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"Axle_Counter.c",6,0,6,0,2,"0,05","0,03",4,2,,,,0,,,,,,13,,,,,,,,,,,,,,123,18,86,18,59,17,0,4,,41,71,21,0,50,,16,,3,,"0,20",30
File,"Axle_Counter.h",0,0,0,0,0,"0,00","0,00",0,0,,,,0,,,,,,0,,,,,,,,,,,,,,11,3,6,0,0,2,0,2,,6,6,6,0,0,,0,,0,,"0,33",0
File,"Train_Movement.c",11,2,9,1,2,"0,03","0,01",1,1,,,,0,,,,,,4,,,,,,,,,,,,,,81,14,39,13,26,23,0,8,,28,37,13,0,27,,4,,2,,"0,59",9
Function,"c1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"c2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"c3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"checkStatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,4,2,2,0,0,0,2,2,2,1,0,2,1,,,0,,"0,00",
Function,"check_status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,6,2,4,0,0,0,2,4,4,1,0,3,1,,,0,,"0,00",
Function,"f1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"f2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"f3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"f4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",
Function,"first_axle_counter_pushed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,0,0,2,2,2,0,0,2,1,,,0,,"0,00",
Function,"init_Counter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,10,2,4,0,0,0,0,4,5,3,0,2,2,,,1,,"0,00",
Function,"main",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,4,17,3,14,2,0,0,7,13,14,2,0,14,2,,,1,,"0,12",
Function,"printinfo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,0,0,1,2,2,0,0,2,1,,,0,,"0,00",
Function,"second_axle_counter_pushed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,1,5,0,0,0,2,4,5,0,0,5,2,,,1,,"0,00",
Function,"this_is_not_used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,1,43,1,33,0,0,0,8,14,29,0,0,29,16,,,3,,"0,00",
Function,"train_arrives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,10,2,7,1,0,1,4,6,9,1,0,8,4,,,2,,"0,10",
Function,"train_leaves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,4,2,2,0,0,0,1,3,4,1,0,3,2,,,1,,"0,00",
